riboflavin (mg),niacin,vitamin B6 (mg),folic acid (milg),food folate (milg),folate (DFE) (milg),Choline (mg),vitamin B12 (milg),age,year,race,vitamin C (mg),vitamin D (milg),vitamin E (mg),added vitamin E (mg),vitamin K,calcium (mg),phosphorus (mg),magnesium (mg),food energy(kcal),protein(g),carbohydrate(g),total sugars(g),dietary fiber(g),total fat(g),saturated fat(g),monosaturated fat(g),polysaturated fat(g),Cholesterol(mg),retinol (milg),vitaminA (milg),alphacarotene (milg),betacarotene (milg),beta-cryptoxanthin (milg),lycopene (milg),lutein+zeaxanthin (milg),thiamin(mg),iron (mg),zinc (mg),copper (mg),selenium (milg),potassium (mg),sodium (mg),caffeine (mg),theobromine (mg)
2.12,27.7,2.38,207,237,589,352,5.25,20 and over,2011-2012,All Hispanic,93.9,4.6,8.4,0.5,96.7,999,1483,315,2211,89.9,275,117,19.4,80.5,25.8,29.1,18.9,314,386,550,339,1756,101,5469,1288,1.67,16.7,12.0,1.3,122.9,2780,3654,114.1,24.7
2.09,25.7,2.19,215,217,583,326,5.25,2 and over,2011-2012,All Hispanic,93.3,5.3,7.9,0.5,83.5,1045,1440,292,2133,84.2,271,119,18.1,77.8,25.6,27.7,18.0,291,433,581,330,1577,96,5228,1086,1.66,16.3,11.5,1.2,114.9,2645,3466,81.9,34.6
1.71,14.8,1.31,166,125,407,197,3.81,2 -5,2013-2014,Non-Hispanic White,70.6,5.8,5.5,0.7,49.2,913,1035,194,1420,50.7,195,97,11.4,50.9,18.7,16.6,10.9,150,441,583,373,1498,52,2647,574,1.20,10.8,7.7,0.7,67.1,1876,2119,5.0,41.4
2.09,20.9,1.68,216,152,519,247,4.56,6 - 11,2013-2014,Non-Hispanic White,69.3,5.7,7.4,0.8,77.1,1162,1322,234,1951,67.4,258,120,14.1,74.8,28.3,24.5,15.3,215,566,698,287,1413,69,3918,1006,1.61,14.1,9.8,0.9,95.9,2147,2995,16.5,59.4
2.32,27.7,2.26,211,167,526,286,5.76,12 - 19,2013-2014,Non-Hispanic White,63.2,5.0,8.0,1.0,83.3,1051,1378,256,2034,81.0,259,126,13.8,76.5,26.1,25.6,17.1,249,481,620,337,1484,64,4324,997,1.70,14.8,11.7,1.0,109.6,2311,3408,65.4,39.3
2.28,26.4,2.20,185,219,533,334,5.04,20 and over,2013-2014,Non-Hispanic White,76.1,5.0,9.7,1.1,123.7,997,1410,307,2129,82.7,248,110,16.6,83.4,27.2,28.9,19.4,282,459,666,409,2256,74,5149,1670,1.64,14.5,11.3,1.2,115.3,2697,3505,195.1,43.6
2.25,25.7,2.14,189,206,526,318,5.03,2 and over,2013-2014,Non-Hispanic White,74.2,5.1,9.2,1.0,113.7,1010,1386,293,2080,80.3,248,112,16.0,80.9,26.9,27.8,18.6,269,468,661,392,2095,72,4888,1517,1.63,14.4,11.1,1.2,111.5,2590,3407,163.0,44.1
1.59,16.6,1.40,184,114,427,205,3.47,2 -5,2013-2014,Non-Hispanic Black,83.3,4.8,6.3,0.6,56.0,788,984,187,1559,53.3,207,99,10.9,59.5,19.6,20.1,14.1,182,390,460,159,720,75,2783,692,1.26,11.6,8.0,0.7,75.6,1842,2401,5.4,34.8
1.77,21.2,1.68,205,149,498,227,4.51,6 - 11,2013-2014,Non-Hispanic Black,77.8,4.5,6.7,0.3,70.8,886,1161,210,1837,63.6,249,113,13.5,67.6,22.6,22.9,15.8,208,441,549,202,1166,70,3685,856,1.53,14.6,9.2,0.8,94.1,1933,3020,12.5,47.9
1.74,23.1,1.70,248,160,581,257,4.07,12 - 19,2013-2014,Non-Hispanic Black,77.4,3.7,8.2,0.3,79.6,902,1246,237,2056,72.0,264,117,13.5,80.8,26.0,27.3,19.7,251,382,474,148,1002,60,4879,1012,1.58,14.1,10.2,0.9,104.8,2069,3332,24.0,27.6
1.79,26.0,2.03,163,201,478,343,4.73,20 and over,2013-2014,Non-Hispanic Black,82.2,4.0,9.1,0.7,124.8,821,1306,278,2230,82.5,266,124,15.4,86.5,26.9,30.6,20.8,320,357,564,285,2307,75,4214,1630,1.52,14.1,10.5,1.1,119.1,2449,3513,79.3,34.1
